gender,race ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,high school,standard,none,83,100,100
male,group B,high school,standard,none,73,72,61
male,group B,high school,free reduced,completed,77,82,77
male,group D,some high school,standard,none,65,61,56
female,group B,associates degree,free reduced,completed,61,73,80
female,group C,some college,standard,none,96,91,88
male,group D,associates degree,free reduced,completed,64,60,63
female,group A,bachelors degree,standard,completed,80,100,100
male,group C,associates degree,standard,none,68,71,66
male,group A,high school,standard,none,52,43,38
male,group C,some college,standard,completed,68,63,69
male,group B,high school,standard,none,73,72,66
male,group A,some high school,free reduced,none,60,57,58
female,group D,bachelors degree,free reduced,completed,85,93,95
female,group B,bachelors degree,free reduced,none,69,89,85
male,group E,masters degree,standard,none,90,73,71
male,group E,some high school,standard,completed,67,59,62
female,group B,high school,standard,none,55,71,70
male,group C,high school,standard,none,67,61,56
male,group D,some college,standard,completed,95,94,93
female,group D,some high school,free reduced,none,50,51,55
male,group B,bachelors degree,free reduced,none,74,71,65
female,group C,some high school,standard,none,73,94,85
male,group C,bachelors degree,standard,none,57,57,57
male,group D,associates degree,free reduced,none,76,65,66
male,group D,bachelors degree,standard,completed,65,55,62
female,group B,high school,standard,none,79,85,82
female,group C,some college,free reduced,none,58,77,77
female,group C,some college,free reduced,none,50,58,53
female,group D,high school,free reduced,completed,48,55,62
male,group E,some college,free reduced,none,90,85,77
male,group D,some high school,standard,completed,57,50,55
female,group B,bachelors degree,standard,none,84,85,86
female,group C,some high school,standard,none,75,79,78
male,group B,associates degree,standard,none,61,51,57
male,group E,some college,standard,none,89,90,84
female,group E,masters degree,standard,none,89,94,94
male,group C,associates degree,standard,completed,75,78,80
male,group B,masters degree,free reduced,none,44,36,35
female,group B,some college,standard,completed,81,92,87
male,group C,associates degree,standard,none,60,73,65
female,group B,some high school,free reduced,none,58,68,61
female,group A,some college,free reduced,none,47,60,59
male,group D,associates degree,free reduced,none,75,82,82
female,group C,masters degree,standard,completed,55,84,78
male,group A,associates degree,standard,none,73,82,75
male,group E,bachelors degree,standard,completed,74,72,71
male,group C,some college,standard,completed,68,75,71
female,group A,some high school,standard,none,35,43,49
female,group E,some college,standard,none,91,87,88
male,group B,associates degree,standard,completed,99,80,86
female,group B,associates degree,standard,none,82,90,85
male,group C,associates degree,standard,none,73,71,65
male,group C,bachelors degree,free reduced,none,44,45,41
male,group C,some college,standard,none,63,64,62
female,group C,high school,standard,none,82,87,82
female,group D,high school,free reduced,none,63,74,67
female,group D,some college,free reduced,completed,50,74,78
female,group D,some high school,standard,none,83,90,94
male,group B,associates degree,free reduced,completed,73,72,74
male,group E,associates degree,free reduced,none,71,64,68
male,group D,high school,standard,none,74,70,68
male,group A,some high school,standard,completed,77,64,68
male,group B,bachelors degree,free reduced,none,69,62,58
male,group A,associates degree,standard,completed,57,59,62
male,group D,high school,free reduced,completed,77,90,88
male,group C,bachelors degree,free reduced,none,76,76,68
female,group B,high school,standard,completed,71,77,79
female,group C,high school,standard,none,62,70,70
female,group C,associates degree,free reduced,completed,49,64,66
male,group A,some college,standard,none,58,51,43
female,group B,associates degree,standard,none,53,67,65
male,group C,high school,free reduced,completed,75,71,66
male,group D,some high school,free reduced,none,76,66,74
male,group D,high school,standard,none,74,63,67
male,group C,some high school,standard,none,62,55,52
male,group C,some high school,standard,none,76,65,67
female,group D,high school,standard,none,63,70,74
female,group D,some college,standard,none,69,77,85
male,group B,some high school,standard,completed,94,79,82
male,group C,some high school,free reduced,none,56,57,49
female,group D,some high school,standard,none,81,83,83
male,group D,associates degree,standard,none,62,55,60
male,group C,some college,standard,none,55,44,39
female,group B,bachelors degree,free reduced,none,69,81,74
male,group C,some college,standard,none,59,62,60
male,group E,associates degree,standard,none,74,72,65
male,group D,masters degree,standard,completed,69,64,71
female,group B,high school,free reduced,none,44,53,51
male,group C,some high school,free reduced,none,49,50,49
female,group B,associates degree,free reduced,completed,56,77,78
female,group C,high school,free reduced,none,37,48,45
male,group D,bachelors degree,standard,none,81,86,83
female,group E,some high school,standard,none,68,74,72
male,group C,high school,standard,none,41,47,41
male,group B,some college,free reduced,none,59,53,47
male,group C,some college,standard,none,51,43,45
male,group B,some high school,free reduced,none,68,68,60
male,group B,bachelors degree,free reduced,completed,68,77,79
male,group E,high school,standard,none,94,89,82
female,group E,associates degree,standard,completed,85,84,85
female,group D,some college,standard,completed,69,77,78
male,group E,high school,standard,none,58,48,41
female,group A,high school,standard,completed,64,69,73
male,group C,some high school,free reduced,none,51,59,47
male,group B,masters degree,free reduced,none,55,49,48
male,group D,some high school,standard,none,84,74,79
female,group C,some college,free reduced,completed,48,64,62
male,group B,associates degree,free reduced,none,54,60,52
male,group B,some college,standard,completed,61,65,61
male,group E,some college,standard,completed,80,77,67
male,group C,some high school,standard,none,63,55,52
female,group C,high school,standard,none,72,78,76
male,group A,associates degree,free reduced,completed,75,83,81
female,group C,some college,standard,none,66,75,73
female,group D,some high school,free reduced,completed,79,88,92
female,group C,high school,standard,completed,83,85,89
female,group D,some high school,standard,none,64,60,66
male,group E,masters degree,standard,none,73,61,55
female,group D,some college,standard,none,65,71,76
female,group B,some high school,standard,completed,61,63,65
male,group C,some college,free reduced,none,78,77,76
male,group C,some college,free reduced,none,61,64,59
male,group E,high school,free reduced,none,71,66,58
male,group D,some college,standard,none,76,78,79
female,group D,some high school,standard,completed,80,83,83
female,group D,associates degree,free reduced,none,58,61,58
female,group A,high school,standard,completed,63,71,72
female,group D,high school,standard,none,76,80,85
male,group D,some college,free reduced,completed,72,71,71
female,group D,high school,standard,none,59,76,70
male,group C,some college,standard,completed,75,68,72
male,group D,bachelors degree,free reduced,completed,75,79,82
female,group C,some college,free reduced,none,71,81,80
female,group C,associates degree,free reduced,completed,60,79,81
male,group C,associates degree,standard,completed,72,68,65
female,group D,high school,free reduced,none,59,68,69
male,group D,some college,free reduced,completed,61,61,63
male,group A,bachelors degree,free reduced,none,71,71,69
female,group E,high school,standard,none,52,54,55
male,group B,associates degree,standard,completed,75,64,76
female,group C,associates degree,standard,none,82,81,77
female,group D,bachelors degree,standard,completed,70,78,87
male,group A,some high school,standard,completed,77,68,65
male,group C,associates degree,standard,none,57,55,51
female,group C,associates degree,free reduced,completed,61,84,81
male,group E,some college,standard,none,83,77,71
male,group C,some college,free reduced,completed,38,36,40
male,group E,some college,free reduced,completed,90,91,90
female,group C,associates degree,free reduced,none,56,62,62
male,group C,some college,standard,none,63,57,57
female,group D,some college,standard,none,67,75,69
male,group D,some college,standard,none,74,67,64
female,group D,some college,free reduced,none,63,73,68
female,group D,some high school,standard,none,49,48,48
female,group B,some high school,free reduced,none,59,78,68
male,group B,bachelors degree,standard,none,91,87,86
female,group C,some high school,free reduced,none,23,38,35
female,group D,some college,standard,completed,73,84,90
male,group E,some high school,free reduced,completed,60,59,52
male,group C,some high school,standard,none,52,54,49
male,group D,masters degree,standard,none,79,75,76
female,group C,high school,standard,completed,37,52,51
male,group C,high school,free reduced,none,66,63,63
female,group D,high school,standard,none,72,80,77
female,group C,some high school,standard,completed,43,46,49
female,group A,associates degree,free reduced,none,58,65,63
male,group A,high school,standard,none,57,55,52
female,group E,some high school,free reduced,none,81,80,82
male,group C,some college,standard,none,73,67,65
male,group C,associates degree,standard,none,51,47,46
male,group D,associates degree,standard,none,52,58,56
female,group D,associates degree,free reduced,none,72,79,81
female,group C,bachelors degree,free reduced,none,60,87,80
male,group C,bachelors degree,standard,completed,69,70,71
male,group D,associates degree,standard,none,70,54,54
male,group E,some college,standard,none,100,92,87
male,group D,high school,standard,none,76,70,67
female,group B,bachelors degree,free reduced,completed,58,83,80
male,group B,associates degree,standard,none,76,60,53
male,group E,some high school,standard,completed,65,48,50
female,group C,high school,standard,none,59,71,69
male,group B,associates degree,standard,none,56,54,47
male,group E,some high school,standard,completed,86,76,76
male,group D,bachelors degree,free reduced,none,43,43,40
female,group C,some high school,standard,completed,66,76,79
female,group B,bachelors degree,free reduced,completed,77,100,100
male,group D,some college,standard,none,71,69,65
female,group E,bachelors degree,free reduced,none,90,81,83
female,group E,some high school,free reduced,completed,57,68,67
female,group D,some college,free reduced,none,76,80,82
female,group E,associates degree,standard,none,73,73,73
male,group D,bachelors degree,standard,completed,75,78,76
male,group C,high school,standard,none,68,66,64
male,group B,some high school,free reduced,completed,34,31,25
male,group C,bachelors degree,standard,none,74,68,72
male,group B,some college,standard,none,87,70,66
female,group B,some high school,free reduced,none,62,73,63
female,group C,some college,free reduced,none,39,52,51
male,group A,associates degree,standard,none,77,85,74
female,group D,some high school,standard,none,54,63,62
female,group B,associates degree,free reduced,none,32,51,44
female,group C,masters degree,free reduced,none,63,79,77
female,group C,some college,standard,none,56,62,66
female,group B,some high school,free reduced,none,40,57,49
female,group B,some high school,free reduced,none,59,75,75
male,group B,some college,standard,none,88,81,76
female,group C,bachelors degree,standard,completed,89,100,100
female,group C,some college,free reduced,none,45,77,69
female,group E,bachelors degree,standard,none,58,50,57
female,group D,associates degree,free reduced,none,67,81,84
male,group B,high school,standard,none,57,37,44
female,group C,some high school,standard,none,66,79,76
male,group C,some college,standard,completed,54,46,46
male,group B,bachelors degree,standard,none,71,74,69
female,group D,bachelors degree,standard,none,96,100,98
male,group B,some college,free reduced,none,49,49,41
male,group D,associates degree,standard,none,64,67,66
male,group B,some college,free reduced,completed,84,77,82
male,group E,high school,standard,none,71,65,64
female,group E,some college,standard,completed,72,73,74
male,group C,some high school,standard,completed,86,91,93
female,group C,some high school,standard,none,43,44,42
female,group B,associates degree,free reduced,none,63,74,69
male,group C,bachelors degree,free reduced,completed,35,42,45
female,group B,high school,free reduced,completed,62,78,75
female,group A,high school,free reduced,none,54,62,55
female,group A,bachelors degree,standard,none,80,85,91
male,group C,high school,standard,none,55,59,60
female,group D,bachelors degree,standard,none,67,68,75
male,group B,associates degree,standard,completed,81,78,79
male,group E,masters degree,free reduced,completed,65,59,53
male,group C,bachelors degree,standard,none,97,84,78
male,group C,bachelors degree,standard,none,93,88,90
female,group C,high school,free reduced,completed,83,90,88
female,group B,some college,free reduced,none,58,80,75
male,group E,some college,standard,none,77,69,65
female,group D,some college,standard,completed,66,77,80
female,group E,some college,free reduced,completed,95,100,100
male,group C,associates degree,free reduced,none,74,70,66
female,group D,high school,standard,none,40,42,47
female,group C,some high school,standard,none,79,89,84
male,group D,associates degree,free reduced,none,77,71,64
male,group C,some college,standard,completed,83,81,80
female,group C,some college,standard,completed,74,85,89
male,group D,some college,free reduced,completed,59,56,58
female,group B,bachelors degree,standard,none,72,78,85
female,group D,some high school,standard,completed,79,87,88
female,group D,associates degree,free reduced,none,75,76,79
female,group C,associates degree,free reduced,completed,88,89,93
male,group A,high school,standard,none,79,70,67
male,group C,some high school,free reduced,completed,62,75,67
male,group E,some college,standard,none,100,93,92
female,group C,some high school,free reduced,completed,50,59,61
male,group C,high school,standard,none,90,86,87
male,group D,associates degree,free reduced,none,81,84,79
male,group B,associates degree,standard,completed,79,83,87
female,group D,masters degree,standard,none,98,93,97
female,group C,high school,standard,none,68,70,67
female,group E,some college,standard,completed,85,86,92
male,group D,high school,standard,completed,64,62,60
female,group A,masters degree,standard,completed,85,88,86
male,group E,associates degree,free reduced,none,71,56,59
male,group C,some high school,standard,none,42,39,28
male,group C,masters degree,standard,none,67,62,60
female,group D,high school,standard,completed,74,90,89
male,group E,high school,standard,none,90,89,81
male,group C,some high school,free reduced,none,51,54,43
female,group A,bachelors degree,free reduced,none,66,79,73
female,group C,associates degree,free reduced,none,46,58,56
male,group D,some college,standard,none,73,67,65
male,group E,high school,free reduced,none,85,74,75
male,group B,some high school,standard,none,67,71,67
female,group E,high school,free reduced,none,75,77,73
female,group B,bachelors degree,standard,completed,84,96,100
male,group C,high school,free reduced,completed,75,81,76
male,group D,high school,standard,none,83,72,69
female,group D,some college,free reduced,none,46,65,60
female,group C,some high school,standard,none,59,72,67
male,group D,some high school,standard,none,76,70,67
female,group C,some college,free reduced,completed,43,73,64
male,group B,some college,standard,completed,79,81,76
female,group D,some college,standard,none,55,66,70
female,group E,bachelors degree,standard,completed,74,78,82
female,group C,bachelors degree,standard,completed,97,100,100
male,group C,bachelors degree,standard,completed,99,94,91
male,group C,bachelors degree,free reduced,none,51,45,43
male,group D,some high school,free reduced,none,59,54,49
female,group D,associates degree,standard,none,75,68,75
female,group C,associates degree,standard,none,75,90,88
female,group C,associates degree,standard,none,67,68,72
male,group D,some college,standard,none,74,75,77
male,group D,high school,free reduced,none,71,67,69
male,group B,high school,standard,none,67,70,65
male,group D,bachelors degree,standard,none,68,64,66
female,group C,some high school,free reduced,none,59,74,70
female,group A,associates degree,standard,none,74,78,73
female,group C,some college,standard,completed,44,56,60
male,group D,some high school,standard,none,63,60,66
female,group C,some college,free reduced,none,31,51,49
female,group C,masters degree,standard,completed,93,100,100
female,group C,high school,free reduced,none,28,41,42
female,group C,some high school,standard,none,62,71,66
female,group D,some college,free reduced,none,78,79,89
female,group C,associates degree,free reduced,completed,52,54,56
female,group C,high school,standard,completed,85,80,85
male,group D,high school,standard,completed,100,92,98
female,group B,some high school,standard,completed,76,87,92
male,group C,some college,standard,none,46,42,43
male,group E,associates degree,free reduced,completed,88,87,88
male,group B,bachelors degree,free reduced,none,68,69,62
male,group C,associates degree,standard,completed,88,76,79
female,group D,some college,standard,none,67,66,73
female,group C,associates degree,standard,none,61,60,57
female,group E,some college,free reduced,none,54,62,64
male,group C,some high school,free reduced,none,51,45,40
female,group E,high school,free reduced,none,80,92,82
male,group B,associates degree,free reduced,none,78,80,74
female,group B,masters degree,standard,completed,79,84,85
female,group A,associates degree,standard,none,52,58,55
male,group C,associates degree,standard,none,81,71,67
female,group C,high school,standard,completed,65,70,74
female,group C,masters degree,free reduced,none,46,56,55
male,group D,high school,standard,none,65,65,60
female,group A,high school,standard,none,50,49,49
female,group C,high school,standard,none,69,79,80
female,group D,some high school,standard,completed,65,60,71
male,group B,some college,standard,none,36,41,42
male,group C,some college,free reduced,none,49,45,45
female,group D,some high school,free reduced,completed,56,73,73
male,group B,high school,free reduced,none,47,37,32
male,group D,masters degree,standard,none,96,85,85
female,group B,associates degree,free reduced,none,45,66,64
female,group B,bachelors degree,standard,none,65,73,75
male,group D,high school,free reduced,none,56,52,49
male,group B,associates degree,standard,none,67,71,62
male,group D,high school,free reduced,completed,73,66,69
female,group D,high school,standard,completed,72,76,79
male,group D,some high school,standard,completed,89,80,81
male,group E,high school,free reduced,none,69,60,54
female,group D,some high school,standard,none,62,83,76
female,group B,some high school,standard,completed,49,53,59
male,group D,high school,free reduced,none,66,62,65
male,group C,high school,standard,none,68,72,63
male,group D,some high school,standard,none,87,82,86
male,group B,some high school,standard,none,47,46,33
female,group B,some college,free reduced,completed,53,60,65
male,group E,some college,free reduced,completed,69,65,66
male,group C,bachelors degree,free reduced,none,35,34,31
male,group C,high school,free reduced,none,60,62,55
female,group D,some high school,free reduced,completed,72,86,88
male,group C,high school,standard,none,50,37,34
female,group D,high school,standard,none,61,61,64
male,group D,associates degree,free reduced,none,65,67,69
female,group C,some high school,standard,none,52,64,58
male,group D,some high school,standard,completed,63,66,59
female,group A,associates degree,standard,completed,91,97,95
male,group E,some high school,standard,none,98,87,85
male,group B,associates degree,free reduced,completed,83,75,73
male,group D,bachelors degree,standard,none,84,90,83
male,group C,some high school,standard,completed,62,65,63
female,group B,associates degree,standard,completed,79,77,80
male,group E,some high school,free reduced,none,75,61,59
female,group D,associates degree,free reduced,none,53,78,69
female,group D,masters degree,free reduced,none,45,69,62
male,group B,associates degree,standard,none,80,82,83
female,group B,associates degree,standard,completed,79,91,90
female,group C,masters degree,free reduced,completed,63,74,76
male,group D,some college,standard,none,84,82,81
male,group E,associates degree,free reduced,none,84,75,72
female,group C,some college,free reduced,completed,64,74,76
male,group E,associates degree,standard,none,81,70,64
male,group D,associates degree,standard,none,75,70,67
female,group E,associates degree,standard,completed,63,71,68
male,group D,masters degree,standard,completed,76,68,77
female,group A,masters degree,standard,completed,64,71,77
male,group D,associates degree,free reduced,completed,51,56,49
male,group C,some high school,free reduced,completed,66,69,70
female,group C,some college,standard,none,65,75,75
male,group C,some college,standard,none,73,61,51
female,group B,bachelors degree,standard,completed,72,72,74
female,group D,some college,free reduced,none,60,56,64
female,group D,some high school,free reduced,completed,49,67,72
male,group E,some college,free reduced,none,64,64,59
male,group A,some college,free reduced,completed,54,60,60
male,group C,some high school,free reduced,none,45,45,42
female,group B,bachelors degree,standard,none,57,59,67
female,group B,some college,free reduced,none,45,51,53
female,group B,bachelors degree,standard,none,85,87,85
female,group C,some high school,standard,none,45,60,58
male,group D,some high school,standard,none,53,48,37
female,group C,some college,free reduced,completed,52,76,80
male,group C,masters degree,free reduced,completed,61,71,65
female,group C,bachelors degree,standard,completed,71,73,83
male,group D,associates degree,standard,completed,66,65,68
female,group D,some high school,standard,completed,60,68,76
female,group C,bachelors degree,free reduced,none,36,54,59
male,group B,bachelors degree,standard,none,68,66,65
male,group E,some high school,free reduced,completed,72,72,68
female,group C,high school,standard,none,49,47,55
female,group C,some high school,free reduced,none,42,56,48
male,group C,bachelors degree,standard,completed,91,80,86
male,group D,some college,standard,none,72,60,58
male,group E,some college,standard,completed,74,61,62
female,group C,some high school,standard,none,57,65,66
female,group D,high school,standard,none,71,81,74
female,group E,some college,standard,none,73,84,84
female,group B,associates degree,standard,none,54,52,56
female,group C,associates degree,free reduced,none,63,72,67
female,group C,high school,free reduced,none,51,61,62
female,group C,associates degree,standard,none,87,92,93
male,group C,associates degree,free reduced,none,52,55,51
male,group C,associates degree,standard,none,64,63,64
female,group A,some college,standard,none,65,76,70
female,group E,high school,standard,completed,93,100,100
male,group C,masters degree,standard,completed,81,79,80
female,group E,high school,standard,completed,79,89,90
male,group C,associates degree,free reduced,completed,73,72,75
male,group A,high school,free reduced,completed,62,53,59
female,group D,associates degree,standard,none,64,75,74
female,group B,associates degree,standard,none,92,99,99
male,group B,bachelors degree,standard,none,96,82,83
female,group C,associates degree,standard,none,83,81,87
male,group C,high school,standard,completed,61,64,65
male,group B,masters degree,standard,none,89,80,78
female,group D,some high school,standard,completed,74,79,81
female,group D,bachelors degree,free reduced,none,56,69,74
female,group E,high school,free reduced,none,59,72,63
male,group D,bachelors degree,standard,none,77,68,74
female,group D,bachelors degree,free reduced,completed,60,68,76
female,group D,some high school,standard,completed,57,59,67
male,group C,high school,standard,none,82,82,73
male,group E,bachelors degree,standard,none,91,74,76
male,group C,high school,free reduced,none,61,70,61
female,group A,some college,free reduced,completed,57,69,71
male,group A,bachelors degree,standard,none,86,82,76
female,group E,high school,free reduced,none,31,44,45
female,group A,masters degree,standard,none,89,100,97
male,group C,high school,standard,none,80,78,72
male,group C,some college,standard,none,85,80,73
female,group D,bachelors degree,free reduced,completed,50,66,65
male,group E,high school,free reduced,none,65,58,54
female,group D,bachelors degree,standard,completed,99,91,95
female,group E,high school,free reduced,completed,61,64,68
female,group E,bachelors degree,standard,none,90,99,99
female,group C,associates degree,free reduced,completed,83,88,94
male,group C,some college,free reduced,none,45,43,38
male,group B,bachelors degree,standard,none,74,69,68
female,group D,some college,standard,none,56,63,67
female,group B,some high school,standard,none,59,57,58
female,group B,some high school,standard,none,54,68,67
male,group C,associates degree,free reduced,none,47,45,36
female,group D,associates degree,standard,none,74,80,76
female,group B,high school,standard,completed,88,98,93
female,group C,some college,free reduced,none,49,71,64
female,group C,high school,standard,none,75,81,81
male,group A,associates degree,standard,completed,83,90,90
male,group B,some high school,free reduced,completed,61,58,57
female,group A,high school,free reduced,none,63,85,77
female,group A,high school,free reduced,completed,62,80,81
female,group A,associates degree,standard,none,53,69,58
female,group C,some high school,standard,none,64,79,71
male,group D,some college,standard,completed,58,61,68
male,group E,high school,free reduced,completed,99,95,89
male,group B,associates degree,standard,completed,89,74,73
female,group C,bachelors degree,standard,completed,61,73,76
male,group D,some college,standard,none,56,53,54
female,group C,some college,standard,none,58,61,66
male,group B,bachelors degree,standard,none,79,79,72
female,group D,some college,standard,none,66,72,73
male,group B,some college,free reduced,none,47,59,52
male,group D,masters degree,standard,none,71,66,70
male,group E,associates degree,standard,none,96,86,79
female,group C,bachelors degree,free reduced,none,28,59,60
male,group D,some college,standard,completed,78,68,68
female,group B,associates degree,standard,none,74,81,77
male,group C,associates degree,free reduced,completed,81,81,82
male,group A,high school,free reduced,none,40,49,41
female,group E,some college,standard,completed,63,76,71
female,group B,some high school,standard,none,66,80,76
male,group E,some high school,standard,completed,88,74,77
female,group E,high school,standard,none,63,68,71
female,group D,some college,standard,completed,72,83,92
female,group B,bachelors degree,standard,completed,91,100,100
male,group E,bachelors degree,standard,none,69,55,53
male,group B,some college,standard,none,91,82,80
male,group C,some college,free reduced,none,66,66,62
male,group B,some high school,free reduced,none,58,58,48
male,group B,masters degree,free reduced,completed,64,67,63
male,group B,bachelors degree,standard,none,77,68,64
female,group C,high school,standard,none,45,54,46
male,group B,masters degree,standard,none,76,68,68
female,group D,some college,free reduced,none,56,80,71
female,group D,some college,standard,none,76,81,89
male,group A,some high school,standard,none,65,46,49
male,group E,some college,standard,none,84,82,76
male,group B,masters degree,standard,none,99,98,91
male,group D,bachelors degree,free reduced,none,58,54,55
male,group C,masters degree,standard,none,90,81,79
male,group E,some college,standard,none,67,56,54
male,group D,masters degree,free reduced,none,64,54,56
male,group C,bachelors degree,standard,none,79,72,69
female,group D,high school,standard,none,95,88,88
female,group C,some high school,standard,completed,70,66,73
male,group C,some college,standard,completed,36,33,39
male,group B,associates degree,standard,none,89,89,87
male,group D,high school,free reduced,completed,88,85,87
female,group D,some high school,standard,none,42,58,56
male,group A,some college,standard,none,67,68,66
female,group C,some college,free reduced,completed,65,69,69
female,group C,associates degree,free reduced,completed,63,80,79
female,group C,associates degree,standard,none,40,57,48
male,group E,some college,standard,none,100,91,91
male,group E,associates degree,standard,none,83,79,74
female,group D,some college,standard,completed,77,84,92
male,group D,some college,standard,none,68,56,51
male,group D,some college,standard,completed,64,56,63
female,group D,some college,standard,none,65,66,67
female,group B,some college,free reduced,completed,58,77,77
male,group D,bachelors degree,standard,none,48,59,51
male,group C,some college,free reduced,none,75,67,69
female,group C,some high school,standard,none,65,70,71
female,group A,masters degree,standard,none,96,100,100
male,group D,some college,standard,none,53,43,40
male,group D,associates degree,standard,none,76,78,73
female,group A,bachelors degree,standard,completed,77,75,76
male,group C,masters degree,free reduced,none,71,65,59
male,group C,masters degree,standard,none,82,79,77
male,group C,high school,standard,completed,77,71,76
male,group D,high school,standard,none,77,66,66
female,group C,high school,standard,none,68,77,77
male,group D,some high school,standard,completed,89,84,82
male,group E,associates degree,standard,none,68,58,53
female,group E,high school,standard,none,84,88,87
male,group C,some high school,standard,none,59,65,59
female,group B,masters degree,standard,completed,66,80,83
male,group C,some high school,free reduced,completed,57,61,62
female,group D,high school,standard,completed,84,90,89
female,group C,high school,standard,completed,71,98,94
male,group C,some college,free reduced,none,52,54,49
male,group D,bachelors degree,standard,none,73,73,73
female,group A,associates degree,free reduced,none,43,52,51
male,group C,associates degree,standard,none,100,95,82
male,group D,some college,standard,none,53,34,38
female,group E,bachelors degree,standard,none,62,61,62
female,group C,masters degree,standard,none,45,59,56
female,group E,some college,standard,none,87,93,95
male,group A,associates degree,standard,completed,81,73,76
male,group A,masters degree,standard,completed,99,99,96
male,group B,some college,standard,none,46,43,36
male,group D,some college,standard,none,80,77,80
male,group D,masters degree,free reduced,none,70,73,76
female,group D,high school,standard,none,51,54,57
male,group B,masters degree,standard,completed,92,87,89
female,group C,some college,free reduced,completed,36,58,59
female,group D,some high school,standard,completed,94,100,100
female,group D,associates degree,standard,none,64,80,77
female,group E,some high school,standard,none,53,61,55
male,group E,bachelors degree,free reduced,none,90,93,88
male,group A,high school,standard,completed,71,76,74
female,group E,some college,free reduced,completed,91,100,99
male,group D,associates degree,standard,none,61,55,61
female,group A,masters degree,free reduced,none,52,71,63
male,group B,associates degree,standard,none,65,62,56
female,group B,some high school,standard,none,86,90,87
